Legal Name,Foundation POC Email,EIN,DBA,Phone Number,Mission,Vision,Has Fiscal Sponsor,Fiscal Sponsor Name,Fiscal Sponsor EIN,Fiscal Sponsor Email,Fiscal Sponsor Primary Contact Name,Fiscal Sponsor Primary Contact Email,Fiscal Sponsor Address 1,Fiscal Sponsor Address 2,Fiscal Sponsor City,Fiscal Sponsor State,Fiscal Sponsor Zipcode,Fiscal Sponsor Country,Org Email,Description,Primary Contact Email,Website,HQ Address 1,HQ Address 2,HQ City,HQ State,HQ Zip Code,HQ Country,Mailing Address 1,Mailing Address 2,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Address Country,Facebook,Twitter,Instagram,LinkedIn,Guidestar Profile,Legal Status,Founding Date,partner-type,Nonprofit Id
ARChive of Contemporary Music,maya+temelio+demo@trytemelio.com,133347764,ARChive of Contemporary Music,,"The ARChive of Contemporary Music is a not-for-profit music library dedicated to collecting, preserving and providing information about popular music from around the world. Now in its twenty-seventh year of operation, ARC is the largest and most important popular music colfourth lection in the world – with over two million sound recordings and approximately three million photographs, books, press kits, videos, memorabilia and related ephemera.  Our simple goal is to guarantee that the world’s musical heritage is preserved for future generations to study and enjoy.  We believe that all forms of popular music, jazz, be-bop, bluegrass, country, rock, rap, blues, enka, reggae, calypso, zydeco, and countless other forms are significant cultural expressions. All musics entertain as well as reveal a people and their values to the rest of the world.",,,,,,,,,,,,,,,"Music library dedicated to collecting, preserving and providing information about popular music from around the world.",,,,,Staatsburg,NY,,,,,,,,,,,,,,,,,
Early Music Now,maya+temelio+demo@trytemelio.com,391594107,Early Music Now,,"Early Music Now is the only presenter in Wisconsin focusing exclusively on historically-informed, period instrument performances of Medieval, Renaissance and early Baroque music. www.earlymusicnow.org",,,,,,,,,,,,,,,The creation of lively connections with the past through historically informed presentations of music composed before 1800. www.earlymusicnow.org,,,,,MILWAUKEE,WI,,,,,,,,,,,,,,,,,
Washington Heights Community Choir,maya+temelio+demo@trytemelio.com,,Washington Heights Community Choir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPS,ruthwick+temelio+demo@trytemelio.com,592751953,MAPS,,"Founded in 1986, the Multidisciplinary Association for Psychedelic Studies (MAPS) is a visionary 501(c)(3) non-profit organization ushering the safe and ethical use of psychedelics as tools for healing and growth on individual, familial, societal, and planetary levels.",,,,,,,,,,,,,,,"The Multidisciplinary Association for Psychedelic Studies supports psychedelic and cannabis research, education and policy reform.",,,,,San Jose,CA,,,,,,,,,,,,,,,,,
Women's Peace & Humanitarian Fund,ruthwick+temelio+demo@trytemelio.com,,Women's Peace & Humanitarian Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girls in Tech,ruthwick+temelio+demo@trytemelio.com,454106759,Girls in Tech,,"Girls in Tech (GIT) is a global non-profit focused on the engagement, education and empowerment of girls and women who are passionate about technology. Our aim is to accelerate the growth of innovative women who are entering into the high-tech industry and building successful startups.",,,,,,,,,,,,,,,"Focused on the engagement, education and empowerment of girls and women.",,,,,Nashville,TN,,,,,,,,,,,,,,,,,
Save the Children,ruthwick+temelio+demo@trytemelio.com,60726487,Save the Children,,"Save the Children believes every child deserves a future. Since our founding more than 100 years ago, we’ve changed the lives of more than 1 billion children. In the United States and around the world, we give children a healthy start in life, the opportunity to learn and protection from harm. We do whatever it takes for children – every day and in times of crisis – transforming their lives and the future we share.",,,,,,,,,,,,,,,"Giving children in the U.S. and around the world a healthy start in life, the opportunity to learn and protection from harm.",,,,,Fairfield,Connecticut,,,,,,,,,,,,,,,,,
801 Labs,ruthwick+temelio+demo@trytemelio.com,464280893,801 Labs,,"801 Labs is a Salt Lake City based hackerspace created by local information technology, electronics, and information security enthusiasts. 801 Labs is a physical space designed to be a center for peer learning and knowledge sharing in the form of workshops, presentations, and lectures. We also offer regular activities to the community, where people can gather to work on their own projects, exchange ideas, and learn from each other. Since 801 Labs is intended to be a shared community resource, almost all of our events are free and open to the public.",,,,,,,,,,,,,,,801 Labs is a Salt Lake City based hackerspace created by local information security enthusiasts.,,,,,SALT LAKE CITY,UT,,,,,,,,,,,,,,,,,
No End To Love Inc.,ruthwick+temelio+demo@trytemelio.com,844844337,No End To Love Inc.,,"No End To Love promotes self reliance with education, clean water, business initiatives and improvement of living conditions.",,,,,,,,,,,,,,,"Water + Education + Business/Income + Safe Shelter = Building Self Reliant Communities, One Family, One Village at a time . . .",,,,,South Jordan,UT,,,,,,,,,,,,,,,,,
Malala Fund,ruthwick+temelio+demo@trytemelio.com,811397590,Malala Fund,,"With more than 130 million girls out of school today, here’s how we’re breaking down barriers that hold girls back. Through our Education Champion Network, we invest in local educators and advocates — the people who best understand girls in their communities — in regions where the most girls are missing out on secondary school. We advocate — at local, national and international levels — for resources and policy changes needed to give all girls a secondary education. The girls we serve have high goals for themselves — and we have high expectations for leaders who can help them. We believe girls should speak for themselves and tell leaders what they need to learn and achieve their potential. We amplify girls’ voices and share their stories through Assembly, our digital publication and newsletter.",,,,,,,,,,,,,,,Working for a world where all girls can learn and lead without fear.,,,,,Washington,District of Columbia,,,,,,,,,,,,,,,,,
YTB Global,ruthwick+temelio+demo@trytemelio.com,843685123,YTB Global,,"Youth TimeBanking Global has youth-adult projects in the US in New Jersey, Connecticut, Florida, Indiana; in Africa in Yaounde' Cameroon, Kibengo-Nakivale Uganda, Mukono-Kampala Uganda, and Simiyu Tanzania. Youth TimeBanking Global is a community service practice for supporting youth to increase awareness of community organizations and expand their social connections. YTB is experiential learning in the interests of building community. YTB introduces youth to principles of co-production and servant leadership. When youth are involved with community, they strengthen their connections to their community and learn about Civic Engagement. As youth continue with YTB they experience co-production -- a model in which each person contributes to the design and delivery of projects or services. YTB's Vision is that all youth transition to adulthood with the experience of contributing service to their community. YTB is a system of service exchange that leverages the talents, capabilities, and energies of youth so that they are viewed as partners and co-producers to achieve shared goals and work towards shared visions in our communities. Youth Earning Time Credits For Community Service Activities - Youth TimeBanking is a nonprofit that provides youth with opportunities through its network of community organizations. YTB is timebanking customized for youth, a program of giving and receiving where youth earn YTB time credits for their service contributions. Youth take care of Little Free Libraries and community gardens, design logos, participate in virtual events, work on anti-bullying projects, and more. YTB time credits can be exchanged for resources or services, such as cell phone minutes, refurbished technology, sports gear, school supplies, arts-crafts supplies, books, coaching sessions, digital inclusion, lessons, etc. YTB is a youth-adult partnership in which youth develop strengths, make community connections, and experience something bigger than themselves. YTB helps youth as they help others!",,,,,,,,,,,,,,,YTB Community CALM: Platforms-Partners-Projects: Youth-Adult partnership of giving & receiving for youth-community development.,,,,,FREEHOLD,NJ,,,,,,,,,,,,,,,,,
CodeCrew,ruthwick+temelio+demo@trytemelio.com,474691807,CodeCrew,,"CodeCrew directly addresses the diversity and access gap in tech. We offer educational opportunities that 1) teach children and adults to code while mentoring them toward careers in tech fields and 2) provide educators with the tools to increase computer science knowledge for all students. We are introducing an entire generation to the 21st-century skills foundational to individual success. CodeCrew is directly addressing that access gap in Memphis. By offering educational opportunities that 1) teach children and adults to code while mentoring them toward careers in tech fields and 2) provide educators the tools to increase computer science knowledge for all students, we are introducing an entire generation to the 21st-century skills foundational to individual success. Our tech education programs do not just teach students how to write code or produce software applications. Our programs enable analytical thinking, encouraging students to focus on big-picture outcomes and detail-level execution while allowing them to develop their leadership skills and take ownership of their decisions. Computer Science training teaches students to take pride in what they do, to accept feedback and peer criticism, and be excited about sharing their work with the world. High levels of quality computer science education will transform students into highly paid employees and entrepreneurs, as well as highly effective citizens. Memphis is finally positioned to become a significant pipeline of African American and Latino tech talent for the future. But we must continue our efforts. Your gift powers our work. ",,,,,,,,,,,,,,,"To empower and mentor those most underrepresented in tech, to be tech innovators through hands-on computer science training.",,,,,Memphis,TN,,,,,,,,,,,,,,,,,
American Foundation for Suicide Prevention,ruthwick+temelio+demo@trytemelio.com,133393329,American Foundation for Suicide Prevention,,"The American Foundation for Suicide Prevention (AFSP) is a voluntary health organization that gives those affected by suicide a nationwide community empowered by research, education and advocacy to take action against this leading cause of death. AFSP is dedicated to saving lives and bringing hope to those affected by suicide. AFSP creates a culture that’s smart about mental health by engaging in the following core strategies:
 * Funding scientific research
 * Educating the public about mental health and suicide prevention
 * Advocating for public policies in mental health and suicide prevention
 * Supporting survivors of suicide loss and those affected by suicide in our mission",,,,,,,,,,,,,,,"Preventing suicide through research, advocacy, and education. Thoughts of suicide? Call: 800-273-8255 / Text: 741741",,,,,NEW YORK,New York,,,,,,,,,,,,,,,,,
Helen Keller International,ruthwick+temelio+demo@trytemelio.com,135562162,Helen Keller International,,"Helen Keller, our co-founder, envisioned a world without barriers to human potential. Guided by her fierce optimism, we have been working on the front lines of health and well-being for more than 100 years. We deliver life-changing health care to vulnerable families in places where the need is great, but access is limited. Our proven, science-based programs empower people to create opportunities in their own lives.",,,,,,,,,,,,,,,"Helen Keller, our co-founder, envisioned a world without barriers to human potential. We are continuing her work.",,,,,NEW YORK,New York,,,,,,,,,,,,,,,,,
Malaria Consortium,ruthwick+temelio+demo@trytemelio.com,980627052,Malaria Consortium,,"Our mission is to improve lives in Africa and Asia through sustainable, evidence-based programs that combat targeted diseases and promote child and maternal health. We will accomplish this together with partners and all levels of government, by:
* designing and implementing cutting edge research, surveillance and monitoring and evaluation;
* selectively scaling up and delivering sustainable evidence-based health programmes;
* providing technical assistance and consulting services that shape and strengthen national and international health policies, strategies and systems and build local capacity;
* seeking to ensure that our experience, thought leadership, practical findings and research results are effectively communicated and contribute to the coordinated improvement of access to and quality of healthcare. 
 
Our areas of expertise include: 
* disease prevention, diagnosis and treatment
* disease control and elimination
* health systems strengthening
* research, monitoring and evaluation leading to best practice
* behavior change communication
* national and international advocacy, and policy development",,,,,,,,,,,,,,,"Prevention, control and treatment of malaria and other communicable diseases among vulnerable populations.",,,,,RALEIGH,NC,,,,,,,,,,,,,,,,,
The Against Malaria Foundation,ruthwick+temelio+demo@trytemelio.com,203069841,The Against Malaria Foundation,,"What do they do? AMF (againstmalaria.com) provides funding for long-lasting insecticide-treated net (LLIN) distributions (for protection against malaria) in developing countries. Does it work? There is strong evidence that distributing LLINs reduces child mortality and malaria cases. AMF conducts post-distribution surveys of completed distributions to determine whether LLINs have reached their intended destinations and how long they remain in good condition. AMF's post-distribution surveys have generally found positive results but have some methodological limitations. What do you get for your dollar? We estimate that the cost to purchase and distribute an AMF-funded net is $4.95, or $4.65 excluding in-kind contributions from governments. ",,,,,,,,,,,,,,,"One of GiveWell's top charities for the past several years, AMF provides anti-malarial bednets to people in need.",,,,,KANSAS CITY,Missouri,,,,,,,,,,,,,,,,,
Rethink Priorities,ruthwick+temelio+demo@trytemelio.com,843896318,Rethink Priorities,,"Rethink Priorities is a research organization that conducts critical research to inform policymakers and major foundations about how to best help people and nonhuman animals in both the present and the long-term future. Our research spans everything from animal welfare to the threat of nuclear war. We explore neglected but promising areas to improve the world and try to further build the community of researchers working on understanding how to do this most effectively. If you'd like to support one of our fiscally sponsored projects (e.g. Epoch), you can give via Every.org, and let us know how to allocate your gift at info@rethinkpriorities.org.",,,,,,,,,,,,,,,We are a think tank dedicated to figuring out the best ways to make the world a better place.,,,,,San Francisco,CA,,,,,,,,,,,,,,,,,
Planned Parenthood,ruthwick+temelio+demo@trytemelio.com,131644147,Planned Parenthood,,"The mission of Planned Parenthood is to provide comprehensive reproductive and complementary health care services in settings that preserve and protect the essential privacy and rights of each individual, to advocate public policies that guarantee these rights and ensure access to such services, to provide educational programs that enhance understanding of individual and societal implications of human sexuality, to promote research and the advancement of technology in reproductive health care and encourage understanding of their inherent bioethical, behavioral, and social implications.  Founded in 1916, Planned Parenthood is a trusted health care provider, educator, and passionate advocate here in the U.S. as well as a strong partner to health and rights organizations around the world. Each year, Planned Parenthood delivers vital sexual and reproductive health care, sex education, and information to millions of people.",,,,,,,,,,,,,,,We’re America’s most trusted provider of reproductive health care.,,,,,NEW YORK,New York,,,,,,,,,,,,,,,,,
Ichor Research Institute Inc,ruthwick+temelio+demo@trytemelio.com,844001770,Ichor Research Institute Inc,,"Longevity Escape Velocity (LEV) Foundation exists to proactively identify and address the most challenging obstacles on the path to the widespread availability of genuinely effective treatments to prevent and reverse human age-related disease. Pending a change of registered name, LEV Foundation is a project of the Ichor Research Institute, Inc., ",,,,,,,,,,,,,,,Eliminating obstacles on the path to the comprehensive medical control of aging and age-related disease.,,,,,LAFAYETTE,NY,,,,,,,,,,,,,,,,,
